what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1361994609411
opened,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ProblemView",1361994609756
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1361994610188
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1361994700269
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1361994700310
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1361994709488
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1361994709514
started,bundle,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui",1361994711459
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20110506,"org.eclipse.ui.externaltools",1361994711815
started,bundle,org.eclipse.jdt.debug,3.7.0.v20110509,"org.eclipse.jdt.debug",1361994712925
started,bundle,org.eclipse.jdt.debug.ui,3.6.0.v20110512,"org.eclipse.jdt.debug.ui",1361994713034
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1361994721772
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1361994725000
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.help.aboutAction",1361994725048
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1361994725927
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1361994892363
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1361994894253
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1361994894841
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1361994896042
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1361994896236
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1361994897045
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1361994897242
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1361994897242
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1361994897242
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1361994897243
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1361994897243
