what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.help.ui,3.5.100.v20110425,"org.eclipse.help.ui",1332564005714
started,bundle,org.eclipse.equinox.http.jetty,2.0.100.v20110502,"org.eclipse.equinox.http.jetty",1332564005877
started,bundle,org.eclipse.equinox.http.servlet,1.1.200.v20110502,"org.eclipse.equinox.http.servlet",1332564005966
started,bundle,org.eclipse.equinox.http.registry,1.1.100.v20110502,"org.eclipse.equinox.http.registry",1332564006135
started,bundle,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser",1332564006181
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.help.helpContents",1332564006478
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332564006493
started,bundle,org.eclipse.equinox.jsp.jasper.registry,1.0.200.v20100503,"org.eclipse.equinox.jsp.jasper.registry",1332564010203
started,bundle,org.eclipse.equinox.jsp.jasper,1.0.300.v20110502,"org.eclipse.equinox.jsp.jasper",1332564010238
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332564011009
started,bundle,org.eclipse.help.webapp,3.6.0.v20110518,"org.eclipse.help.webapp",1332564011654
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1332564013554
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1332564013677
opened,view,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.internal.introview",1332564014255
activated,view,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.internal.introview",1332564014314
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.help.quickStartAction",1332564014379
started,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1332564041216
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.perspectives.showPerspective",1332564072538
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1332564082201
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1332564084739
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1332564084799
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1332564086118
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1332564086118
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1332564086630
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332564089675
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332564099144
activated,view,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.internal.introview",1332564105691
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1332564119427
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332564125635
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332564173500
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1332564173714
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1332564173824
activated,view,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.internal.introview",1332564183498
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1332564193398
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332564201619
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332564203801
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1332564203858
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1332564203934
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332564204949
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332564212286
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332564219015
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332564235466
